Rechtsgebiet;Begriff;Definition
Strafrecht;Kausalität;Eine Handlung ist kausal für einen tatbestandlichen Erfolg, wenn sie nicht hinweggedacht werden kann, ohne dass der Erfolg in seiner konkreten Gestalt entfiele (conditio-sine-qua-non-Formel)
Strafrecht;Objektive Zurechenbarkeit;Ein tatbestandlicher Erfolg ist dem Täter objektiv zurechenbar, wenn sich in diesem eine vom Täter geschaffene  rechtlich missbilligte Gefahr realisierte.
Strafrecht;Verbrechen;Ein Verbrechen ist eine Tat, die im Mindestmaß mit Freiheitsstrafe von mindestens einem Jahr bedroht ist (§ 12 Abs. 1 StGB)
Strafrecht;Vergehen;Ein Vergehen ist eine Tat, die im Mindestmaß mit einer Freiheitsstrafe von unter einem Jahr oder mit Geldsttrafe bedroht ist (§ 12 Abs. 2 StGB)
Strafrecht;Antragsdelikt;Ein Antragsdelikt ist eine Straftat, bei der die Strafverfolgung grundsätzlich einen wirksamen Strafantrag des Antragsberechtigten voraussetzt
Strafrecht;Direkter Vorsatz (Dolus directus 1. Grades);Direkter Vorsatz liegt vor, wenn es dem Täter gerade darauf ankommt, den Tatbestand zu verwirklichen.
Strafrecht;Bedingter Vorsatz (dolus eventualis);Bedingter Vorsatz liegt vor, wenn der Täter die Tatbestandverwirlichung  als möglich und nicht ganz fernliegend erkennt und sie billigend in Kauf nimmt
Strafrecht;Kummulativer Vorsatz (dolus cummulativus);Kumulativer Vorsatz liegt vor, wenn der Täterdavon ausgeht  mehrere Tatbestände nebeneinander zu verwirklichen.
Strafrecht;Fehlgeschlagener Versuch;Ein Versuch ist fehlgeschlagen, wenn der Täter nach seiner Vorstellung von der Tat (§ 22 StGB) mit den bereits eingesetzten oder ihm zur Verfügung stehenden Mitteln den tatbestandlichen Erfolg nicht mehr oder nicht ohne zeitlich relevante Zäsur herbeiführen kann
Strafrecht;Unbeendeter Versuch;Ein Versuch ist unbeendet, wenn der Täter nach seiner Vorstellung von der Tat (§ 22 StGB) noch nicht alles getan hat, was nach seiner Vorstellung zur Herbeiführung des tatbestandlichen Erfolges erforderlich ist.
Öffentliches Recht;Allgemeinverfügung;Eine Allgemeinverfügung ist ein Verwaltungsakt im Sinne des § 35 S. 1 VwVfG, der sich nach § 35 S. 2 VwVfG an einen nach allgemeinen Merkmalen bestimmten oder bestimmbaren Personenkreis richtet (personenbezogene Allgemeinverfügung), die öffentlich-rechtliche Eigenschaft einer Sache betrifft (sachbezogene Allgemeinverfügung) oder die Benutzung einer Sache durch die Allgemeinheit regelt (benutzungsregelnde Allgemeinverfügung).
