Rechtsgebiet;Begriff
Strafrecht;Vorsatz
Strafrecht;Dolus directus 1. Grades
Strafrecht;Dolus directus 2. Grades
Strafrecht;Dolus eventualis
Strafrecht;Fahrlässigkeit
Strafrecht;Bewusste Fahrlässigkeit
Strafrecht;Unbewusste Fahrlässigkeit
Strafrecht;Notwehr
Strafrecht;Angriff
Strafrecht;Gegenwärtigkeit des Angriffs
Strafrecht;Erforderlichkeit der Verteidigung
Strafrecht;Notwehrprovokation
Strafrecht;Absichtsprovokation
Strafrecht;Schuld
Strafrecht;Kausalität
Strafrecht;Äquivalenztheorie
Strafrecht;Objektive Zurechnung
Strafrecht;Adäquanztheorie
Strafrecht;Rechtswidrigkeit
Strafrecht;Versuch
Strafrecht;Rücktritt vom Versuch
Strafrecht;Aufgeben der weiteren Tatausführung
Strafrecht;Abergläubischer Versuch
Strafrecht;Mittäterschaft
Strafrecht;Täterschaft
Strafrecht;Anstifter
Strafrecht;Beihilfe
Strafrecht;Unterlassen
Strafrecht;Garantenstellung
Strafrecht;Heimtücke
Strafrecht;Arglosigkeit
Strafrecht;Habgier
Strafrecht;Niedrige Beweggründe
Strafrecht;Grausamkeit
Strafrecht;Totschlag
Strafrecht;Mord
Strafrecht;Körperverletzung
Strafrecht;Gesundheitsschädigung
Strafrecht;Diebstahl
Strafrecht;Wegnahme
Strafrecht;Gewahrsam
Strafrecht;Zueignungsabsicht
Strafrecht;Betrug
Strafrecht;Täuschung
Strafrecht;Vermögensschaden
Strafrecht;Nötigung
Strafrecht;Gewalt
Strafrecht;Drohung
Strafrecht;Raub
Strafrecht;Erpressung
Strafrecht;Hehlerei
Strafrecht;Ankaufen
Strafrecht;Absatzhilfe
Strafrecht;Absetzen
Strafrecht;Urkundenfälschung
Strafrecht;Urkunde
Strafrecht;Aussteller einer Urkunde
Strafrecht;Ausweispapier
Strafrecht;Sachbeschädigung
Strafrecht;Brandstiftung
Strafrecht;Freiheitsberaubung
Strafrecht;Untreue
Strafrecht;Anstellungsbetrug
Strafrecht;Arglistige Täuschung
Strafrecht;Abwägungsklausel
Strafrecht;Absolute Fahruntüchtigkeit
Strafrecht;Absichtslos-doloses Werkzeug
Strafrecht;Abfall
Strafrecht;Aberratio ictus
Strafrecht;Abbruch der Schwangerschaft
Strafrecht;Aussagenotstand
Strafrecht;Aussage
Strafrecht;Auf frischer Tat betroffen
Strafrecht;Atypischer Kausalverlauf
Strafrecht;Anvertraut
Strafrecht;animus socii
Strafrecht;animus auctoris
Strafrecht;Aneignung (StR)
Strafrecht;Analogie
Strafrecht;Alternativvorsatz
Strafrecht;Alternative Kausalität
Strafrecht;Allgemeindelikt
Strafrecht;agent provocateur
Strafrecht;actio libera in causa
Strafrecht;actio illicita in causa
Strafrecht;Aggressivnotstand
Strafrecht;Defensivnotstand
Strafrecht;Erlaubnistatbestandsirrtum
Strafrecht;Angehörige
Strafrecht;Ausland
Strafrecht;Annehmen
Strafrecht;Tatherrschaft
Strafrecht;Verbotsirrtum
Strafrecht;Tatbestandsirrtum
Strafrecht;Strafmündigkeit
Strafrecht;Schuldunfähigkeit
Strafrecht;Pflichtwidrigkeit
Zivilrecht;Willenserklärung
Zivilrecht;Abgabe einer Willenserklärung
Zivilrecht;Vertrag
Zivilrecht;Angebot
Zivilrecht;Annahme
Zivilrecht;Annahme einer Erbschaft
Zivilrecht;Stellvertretung
Zivilrecht;Vollmacht
Zivilrecht;Anscheinsvollmacht
Zivilrecht;Eigentum
Zivilrecht;Besitz
Zivilrecht;Schuldverhältnis
Zivilrecht;Anspruch
Zivilrecht;Schadensersatz
Zivilrecht;Verzug
Zivilrecht;Annahmeverzug
Zivilrecht;Unmöglichkeit
Zivilrecht;Bereicherungsrecht
Zivilrecht;Geschäftsfähigkeit
Zivilrecht;Rechtsfähigkeit
Zivilrecht;Deliktsfähigkeit
Zivilrecht;Sachmangel
Zivilrecht;Gewährleistung
Zivilrecht;Verjährung
Zivilrecht;Ablaufhemmung der Verjährung
Zivilrecht;Kaufvertrag
Zivilrecht;Werkvertrag
Zivilrecht;Mietvertrag
Zivilrecht;Deliktsrecht
Zivilrecht;Ungerechtfertigte Bereicherung
Zivilrecht;Geschäftsführung ohne Auftrag
Zivilrecht;Trennungsprinzip
Zivilrecht;Abstraktionsprinzip
Zivilrecht;Gutgläubiger Erwerb
Zivilrecht;Pfandrecht
Zivilrecht;Hypothek
Zivilrecht;Grundschuld
Zivilrecht;Sicherungsübereignung
Zivilrecht;Eigentumsvorbehalt
Zivilrecht;Absolutes Fixgeschäft
Zivilrecht;Annahme der Leistung als Erfüllung
Zivilrecht;Anhängigkeit einer Klage
Zivilrecht;Adäquanz der Schadensfolge
Zivilrecht;Abkömmlinge
Zivilrecht;Abhandenkommen einer Sache
Zivilrecht;Anfangsvermögen
Zivilrecht;Allgemeine Geschäftsbedingungen
Zivilrecht;Auflassung
Zivilrecht;Arbeitnehmer
Zivilrecht;Arbeitsverhältnis
Zivilrecht;Anweisung
Zivilrecht;Anwartschaftsrecht
Zivilrecht;Anstiftung (BGB)
Zivilrecht;Allgemeines Persönlichkeitsrecht
Zivilrecht;Akzessorietät
Zivilrecht;Aliudlieferung
Zivilrecht;actio pro socio
Zivilrecht;Abtretung
Zivilrecht;Absonderung
Zivilrecht;Absolutes Recht
Zivilrecht;Absolute Verfügungsverbote
Zivilrecht;Abnahme
Zivilrecht;Abmahnung
Zivilrecht;Aufrechnung
Zivilrecht;Aufrechnungslage
Zivilrecht;Aufrechnungserklärung
Zivilrecht;Aufwendung
Zivilrecht;Aufschiebende Bedingung
Zivilrecht;Auflösende Bedingung
Zivilrecht;Aufgedrängte Bereicherung
Zivilrecht;Aufgebot
Zivilrecht;Atypischer Vertrag
Zivilrecht;Äquivalenzinteresse
Zivilrecht;Antizipierte Übereignung
Zivilrecht;Anfechtungserklärung
Zivilrecht;Anerkenntnisurteil
Zivilrecht;Aneignung (BGB)
Zivilrecht;Alternativtäterschaft
Zivilrecht;Ausschlagung
Zivilrecht;Auslobung
Zivilrecht;Auftrag
Zivilrecht;Aussonderung
Zivilrecht;Ausschluss der freien Willensbestimmung
Zivilrecht;Auflage im Erbrecht
Zivilrecht;Aktie
Öffentliches Recht;Verwaltungsakt
Öffentliches Recht;Allgemeinverfügung
Öffentliches Recht;Ermessen
Öffentliches Recht;Ermessensfehler
Öffentliches Recht;Beurteilungsspielraum
Öffentliches Recht;Verhältnismäßigkeit
Öffentliches Recht;Angemessenheit eines Eingriffs
Öffentliches Recht;Grundrechte
Öffentliches Recht;Menschenwürde
Öffentliches Recht;Gleichheitssatz
Öffentliches Recht;Meinungsfreiheit
Öffentliches Recht;Versammlungsfreiheit
Öffentliches Recht;Berufsfreiheit
Öffentliches Recht;Eigentumsgarantie
Öffentliches Recht;Allgemeine Handlungsfreiheit
Öffentliches Recht;Allgemeine Gesetze
Öffentliches Recht;Aktive Wahlrechtsgleichheit
Öffentliches Recht;Allgemeinheit der Wahl
Öffentliches Recht;Rechtsstaat
Öffentliches Recht;Demokratieprinzip
Öffentliches Recht;Bundesstaatsprinzip
Öffentliches Recht;Sozialstaatsprinzip
Öffentliches Recht;Gewaltenteilung
Öffentliches Recht;Gesetzmäßigkeit der Verwaltung
Öffentliches Recht;Vorrang des Gesetzes
Öffentliches Recht;Vorbehalt des Gesetzes
Öffentliches Recht;Bestimmtheitsgrundsatz
Öffentliches Recht;Bestandskraft
Öffentliches Recht;Widerspruch
Öffentliches Recht;Anfechtungsklage
Öffentliches Recht;Verpflichtungsklage
Öffentliches Recht;Klagebefugnis
Öffentliches Recht;Polizeiliche Generalklausel
Öffentliches Recht;Öffentliche Sicherheit
Öffentliches Recht;Öffentliche Ordnung
Öffentliches Recht;Gefahr
Öffentliches Recht;Anscheinsgefahr
Öffentliches Recht;Störer
Öffentliches Recht;Bauplanungsrecht
Öffentliches Recht;Actus Contrarius Theorie
Öffentliches Recht;Adressatentheorie
Öffentliches Recht;Administrativenteignung
Öffentliches Recht;Absolute Mehrheit
Öffentliches Recht;Abwägungsdefizit
Öffentliches Recht;Abhilfebescheid
Öffentliches Recht;Abdrängende Sonderzuweisung
Öffentliches Recht;Aufdrängende Sonderzuweisung
Öffentliches Recht;Auflösende Bedingung (VwR)
