ID;Begriff
1;AETR-Abkommen
2;AG & Co. KGaA
3;ALTENER
4;AZR-Gesetz
5;Aas Akademie für Arbeits- und Sozialrecht
6;Abberufung
7;Abbitte
8;Abbruchgebot
9;Abbruchjäger
10;Aberkennung eines akademischen Grades
11;Abfindungsbrennerei
12;Abfärbetheorie
13;Abgabe
14;Abgabenbescheid
15;Abgabenordnung
16;Abgeordnetengesetz
17;Abgeschlossenheit
18;Abgeschlossenheitsbescheinigung
19;Abgeurteilter
20;Abhilfe
21;Abhilfeklage
22;Abkehr
23;Ablehnungsbescheid
24;Ablehnungsgesuch
25;Ablieferung
26;Ablösesumme
27;Ablösevereinbarung
28;Abmahnkosten
29;Abmahnung
30;Abmahnverein
31;Abnahme
32;Abnahmeverpflichtung
33;Abnutzung
34;Abofalle
35;Abordnung
36;Abrechnung
37;Abrechnungsbetrug
38;Abrufarbeit
39;Abrufleistung
40;Abschichtung
41;Abschichtungsbilanz
42;Abschiebung
43;Abschiebungshaft
44;Abschluss völkerrechtlicher Verträge in Bundesstaaten
45;Abschlusserklärung
46;Abschlussverfügung
47;Abschlussvermerk
48;Abschnittsbesteuerung
49;Abschnittskontrolle
50;Absentismus
51;Absicht
52;Absolutes Recht
53;Absolutheitsprinzip
54;Absolution
55;Absonderungsrecht
56;Absorptionsprinzip
57;Abstammungsgutachten
58;Abstammungsklärung
59;Abstammungssache
60;Abstandsgebot
61;Abstimmungsgebiet
62;Abstraktes Geschäft
63;Abstraktionsprinzip
64;Abteilung
65;Abtretung
66;Abweg
67;Abweisung mangels Masse
68;Abwerbung
69;Abwesenheit
70;Abwesenheitspflegschaft
71;Abwicklung
72;Abwägungsfehler
73;Abänderungsklage
74;Abänderungsverfahren
75;Acceptilatio
76;Act-of-State-Doktrin
77;Acta iure imperii
78;Acte-clair-Theorie
79;Actio
80;Actio Fabiana
81;Actio Publiciana
82;Actio Serviana
83;Actio ad exhibendum
84;Actio ad supplendam legitimam
85;Actio aquae pluviae arcendae
86;Actio arbitraria
87;Actio auctoritatis
88;Actio certae creditae pecuniae
89;Actio commodati contraria
90;Actio communi dividundo
91;Actio conducti
92;Actio confessoria
93;Actio contraria
94;Actio de deiectis vel effusis
95;Actio de dolo
96;Actio de in rem verso
97;Actio de pauperie
98;Actio de peculio
99;Actio de posito vel suspenso
100;Actio de tigno iuncto
101;Actio depensi
102;Actio depositi contraria
103;Actio directa
104;Actio empti
105;Actio ex recepto
106;Actio ex testamento
107;Actio familiae erciscundae
108;Actio fiduciae
109;Actio honoraria
110;Actio in factum
111;Actio in personam
112;Actio in rem
113;Actio iniuriarum
114;Actio iudicati
115;Actio locati
116;Actio mandati
117;Actio mixta
118;Actio negatoria
119;Actio noxalis
120;Actio praescriptis verbis
121;Actio pro socio
122;Actio quanti minoris
123;Actio quod metus causa
124;Actio redhibitoria
125;Actio rei uxoriae
126;Actio tutelae directa
127;Actio utilis
128;Actio venditi
129;Actio vi bonorum raptorum
130;Actor sequitur forum rei
131;Adelheid Puttler
132;Adhäsionsverfahren
133;Adiutor
134;Adjektizische Klagen
135;Adjudikation
136;Admissio
137;Adolf Wach
138;Adoption
139;Adoptionsvermittlungsgesetz
140;Adressatentheorie
141;Advance Passenger Information System
142;Adäquanz
143;Aequitas
144;Aerartribun
145;Aestimatio
146;Affektionsinteresse
147;Agapito Sánchez
148;Agent Provocateur
149;Agnat
150;Agrardiesel
151;Agrarsozialrecht
152;Akademie für Staats- und Rechtswissenschaft der DDR
153;Akayesu-Urteil
154;Akkreditierung
155;Akkreditierungs- und Zulassungsverordnung Arbeitsförderung
156;Akkreditiv
157;Akkretion
158;Akkusationsprinzip
159;Akteneinsicht
160;Aktenvortrag
161;Aktiengesellschaft
162;Aktiengesetz
163;Aktion Saubere Leinwand
164;Aktivlegitimation
165;Aktivvermerk
166;Aktorische Kaution
167;Aktuell Lohnsteuerhilfeverein
168;Akzession
169;Akzessist
170;Al-Khatib-Prozess
171;Albert Ebossé Bodjongo
172;Albert-Hensel-Preis
173;Albin Eser
174;Alexander Elster
175;Aliud
176;Alkoholsteuergesetz
177;Alkopopsteuergesetz
178;Alleinauftrag
179;Allgemeine Bedingungen für Kfz-Versicherung in Deutschland
180;Allgemeine Deutsche Seeversicherungsbedingungen
181;Allgemeine Geschäftsbedingungen
182;Allgemeine Geschäftsbedingungen der Kreditinstitute
183;Allgemeine Handlungsfreiheit
184;Allgemeine Kostenpauschale
185;Allgemeine Marktbehinderung
186;Allgemeine Rechtsgrundsätze
187;Allgemeine Reisebedingungen
188;Allgemeine Vertragsbedingungen
189;Allgemeine bauaufsichtliche Zulassung
190;Allgemeiner Friede
191;Allgemeiner Sozialer Dienst
192;Allgemeiner Vollzugsdienst
193;Allgemeines Deutsches Handelsgesetzbuch
194;Allgemeines Gesetz
